title,features_handheld,features_max_players,features_multiplatform,features_online,metadata_genres,metadata_licensed,metadata_publishers,metadata_sequel,metrics_review_score,metrics_sales,metrics_used_price,release_console,release_rating,release_rerelease,release_year,length_all_playstyles_average,length_all_playstyles_leisure,length_all_playstyles_median,length_all_playstyles_polled,length_all_playstyles_rushed,length_completionists_average,length_completionists_leisure,length_completionists_median,length_completionists_polled,length_completionists_rushed,length_main_extras_average,length_main_extras_leisure,length_main_extras_median,length_main_extras_polled,length_main_extras_rushed,length_main_story_average,length_main_story_leisure,length_main_story_median,length_main_story_polled,length_main_story_rushed
Super Mario 64 DS,TRUE,1,TRUE,TRUE,Action,TRUE,Nintendo,TRUE,85,4.69,24.95,Nintendo DS,E,TRUE,2004,22.71666667,31.9,24.48333333,57,14.3,29.76666667,35.03333333,30,20,22.01666667,24.91666667,29.96666667,25,16,18.33333333,14.33333333,18.31666667,14.5,21,9.7
Lumines: Puzzle Fusion,TRUE,1,TRUE,TRUE,Strategy,TRUE,Ubisoft,TRUE,89,0.56,14.95,Sony PSP,E,TRUE,2004,10.1,11.01666667,10,5,9.516666667,0,0,0,0,0,9.75,9.866666667,9.75,2,9.616666667,10.33333333,11.08333333,10,3,9.583333333
WarioWare Touched!,TRUE,2,TRUE,TRUE,"Action,Racing / Driving,Sports",TRUE,Nintendo,TRUE,81,0.54,22.95,Nintendo DS,E,TRUE,2004,4.566666667,11.56666667,2.5,57,2.266666667,10,14.1,7.25,16,6.8,3.85,5.666666667,3.333333333,11,2.783333333,1.916666667,2.933333333,1.833333333,30,1.433333333
Hot Shots Golf: Open Tee,TRUE,1,TRUE,TRUE,Sports,TRUE,Sony,TRUE,81,0.49,12.95,Sony PSP,E,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spider-Man 2,TRUE,1,TRUE,TRUE,Action,TRUE,Activision,TRUE,61,0.45,14.95,Nintendo DS,E,TRUE,2004,13.25,48.38333333,10,37,7.066666667,72.56666667,78.86666667,72.56666667,2,66.28333333,12.76666667,17.31666667,12.5,12,10.48333333,8.35,11.08333333,8,23,5.333333333
The Urbz: Sims in the City,TRUE,1,TRUE,TRUE,Simulation,TRUE,EA,TRUE,67,0.41,12.95,Nintendo DS,M,TRUE,2004,21.93333333,25.5,20,7,16.73333333,30.03333333,30.03333333,30.03333333,2,30.03333333,20.83333333,25.2,20,3,16.45,15.5,15.75,15.5,2,15.25
Ridge Racer,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Namco,TRUE,88,0.36,19.95,Sony PSP,E,TRUE,2004,0.816666667,1.05,0.883333333,6,0.583333333,1.25,1.25,1.25,1,1.25,0.883333333,0.933333333,0.883333333,2,0.833333333,0.616666667,0.783333333,0.533333333,3,0.45
Metal Gear Ac!d,TRUE,1,TRUE,TRUE,Strategy,TRUE,Konami,TRUE,75,0.34,17.95,Sony PSP,E,TRUE,2004,25.38333333,51.65,21.26666667,18,19.16666667,80,80,80,1,80,24.83333333,27.48333333,25.1,6,21.91666667,20.7,23.6,20.78333333,11,17.88333333
Madden NFL 2005,TRUE,1,TRUE,TRUE,Sports,TRUE,EA,TRUE,68,0.25,8.95,Nintendo DS,T,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pokmon Dash,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Nintendo,TRUE,46,0.22,24.95,Nintendo DS,T,TRUE,2004,3.833333333,7.25,1.183333333,4,1.75,12,12,12,1,12,0,0,0,0,0,1.116666667,1.2,1.083333333,3,1.05
Dynasty Warriors,TRUE,1,TRUE,TRUE,"Action,Adventure,Role-Playing (RPG)",TRUE,,TRUE,62,0.2,14.95,Sony PSP,E,TRUE,2004,8.883333333,18.05,2.083333333,4,3.116666667,0,0,0,0,0,0,0,0,0,0,8.883333333,18.05,2.083333333,4,3.116666667
Feel the Magic XY/XX,TRUE,1,TRUE,TRUE,"Action,Adventure,Racing / Driving,Sports",TRUE,Sega,TRUE,75,0.16,8.95,Nintendo DS,T,TRUE,2004,2.9,3.8,3,9,2.316666667,0,0,0,0,0,3.1,3.15,3.1,2,3.05,2.85,3.783333333,2.983333333,7,2.3
Ridge Racer DS,TRUE,1,TRUE,TRUE,Racing / Driving,TRUE,Namco,TRUE,63,0.15,9.95,Nintendo DS,E,TRUE,2004,2.233333333,2.233333333,2.233333333,1,2.233333333,0,0,0,0,0,0,0,0,0,0,2.233333333,2.233333333,2.233333333,1,2.233333333
Darkstalkers Chronicle: The Chaos Tower,TRUE,1,TRUE,TRUE,Action,TRUE,Capcom,TRUE,74,0.14,14.95,Sony PSP,E,TRUE,2004,1.633333333,2.4,2,7,1.066666667,0,0,0,0,0,0,0,0,0,0,1.633333333,2.4,2,7,1.066666667
Ape Escape Academy,TRUE,4,TRUE,TRUE,"Action,Sports",TRUE,Sony,TRUE,51,0.13,14.95,Sony PSP,E,TRUE,2004,1.883333333,1.883333333,1.883333333,1,1.883333333,0,0,0,0,0,0,0,0,0,0,1.883333333,1.883333333,1.883333333,1,1.883333333
Polarium,TRUE,1,TRUE,TRUE,Strategy,TRUE,Nintendo,TRUE,73,0.12,8.95,Nintendo DS,E,TRUE,2004,6.733333333,9.183333333,6,5,5.266666667,12,12,12,1,12,0,0,0,0,0,5.416666667,5.783333333,5.75,4,4.866666667
Asphalt: Urban GT,TRUE,1,TRUE,TRUE,"Racing / Driving,Simulation",TRUE,Ubisoft,TRUE,60,0.11,14.95,Nintendo DS,E,TRUE,2004,12.4,13.7,12.4,2,11.1,9.816666667,9.816666667,9.816666667,1,9.816666667,0,0,0,0,0,15,15,15,1,15
Zoo Keeper,TRUE,1,TRUE,TRUE,Action,TRUE,,TRUE,74,0.1,14.95,Nintendo DS,T,TRUE,2004,7.15,8.9,5,5,5.033333333,11.75,11.75,11.75,1,11.75,0,0,0,0,0,6,7.75,5,4,4.75
Mr. DRILLER: Drill Spirits,TRUE,1,TRUE,TRUE,Action,TRUE,Namco,TRUE,72,0.09,14.95,Nintendo DS,T,TRUE,2004,9.883333333,10.98333333,9.883333333,2,8.766666667,0,0,0,0,0,0,0,0,0,0,9.883333333,10.98333333,9.883333333,2,8.766666667
Sprung,TRUE,1,TRUE,TRUE,Adventure,TRUE,Ubisoft,TRUE,48,0.06,8.95,Nintendo DS,E,TRUE,2004,17.75,17.75,17.75,1,17.75,17.75,17.75,17.75,1,17.75,0,0,0,0,0,0,0,0,0,0
Armored Core: Formula Front - Extreme Battle,TRUE,1,TRUE,TRUE,"Action,Strategy",TRUE,,TRUE,66,0.05,16.95,Sony PSP,E,TRUE,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
